title,brand,price,start_year,end_year,link
Botão Travão De Mão Toyota Avensis Combi (_t27_) 2.2 D-4d (adt,Toyota,30.75,,,https://www.standvirtual.com/anuncio/boto-travo-de-mo-toyota-avensis-combi-t27-2-2-d-4d-adt-ID8P5T2k.html
Sensor Abs Frente Esquerdo Toyota Avensis Combi (_t27_) 2.2 D-,Toyota,24.6,,,https://www.standvirtual.com/anuncio/sensor-abs-frente-esquerdo-toyota-avensis-combi-t27-2-2-d-ID8P5T28.html
Tubo De Ar Condicionado Toyota Avensis Combi (_t27_) 2.2 D-4d,Toyota,36.9,,,https://www.standvirtual.com/anuncio/tubo-de-ar-condicionado-toyota-avensis-combi-t27-2-2-d-4d-ID8P5T4U.html
Fechadura Porta Frente Direita Toyota Avensis Combi (_t27_) 2.,Toyota,61.5,,,https://www.standvirtual.com/anuncio/fechadura-porta-frente-direita-toyota-avensis-combi-t27-2-ID8P5T2a.html
Pala De Sol Esquerda Toyota Avensis Combi (_t27_) 2.2 D-4d (ad,Toyota,30.75,,,https://www.standvirtual.com/anuncio/pala-de-sol-esquerda-toyota-avensis-combi-t27-2-2-d-4d-ad-ID8P5T2D.html
Fechadura Porta Trás Direta Toyota Avensis Combi (_t27_) 2.2 D,Toyota,61.5,,,https://www.standvirtual.com/anuncio/fechadura-porta-trs-direta-toyota-avensis-combi-t27-2-2-d-ID8P5T2e.html
Tubo De Óleo Toyota Avensis Combi (_t27_) 2.2 D-4d (adt271_),Toyota,49.2,,,https://www.standvirtual.com/anuncio/tubo-de-leo-toyota-avensis-combi-t27-2-2-d-4d-adt271-ID8P5T4N.html
Puxador Exterior Trás Direito Toyota Avensis Combi (_t27_) 2.2,Toyota,49.2,,,https://www.standvirtual.com/anuncio/puxador-exterior-trs-direito-toyota-avensis-combi-t27-2-2-ID8P5T1h.html
Travessa Frente Superior Toyota Avensis Combi (_t27_) 2.2 D-4d,Toyota,36.9,,,https://www.standvirtual.com/anuncio/travessa-frente-superior-toyota-avensis-combi-t27-2-2-d-4d-ID8P5T1q.html
Puxador Interior Trás Esquerdo Toyota Avensis Combi (_t27_) 2.,Toyota,24.6,,,https://www.standvirtual.com/anuncio/puxador-interior-trs-esquerdo-toyota-avensis-combi-t27-2-ID8P5T1m.html
